lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11,totcomp,ltotcomp,lexpend,lenroll,lstaff,bensal,lsalary
1.399999976,1862,112.5999985,5765,37498,7420,2.900000095,89.19999695,56.40000153,67.90000153,44918,10.71259403,8.659560204,7.529406548,4.723841667,0.197877213,10.5320425
2.299999952,11355,101.1999969,6601,48722,10370,1.299999952,91.40000153,42.70000076,65.30000305,59092,10.98685074,8.794976234,9.337413788,4.617098808,0.212840199,10.79388618
2.700000048,7685,114,6834,44541,7313,3.5,91.40000153,43.79999924,54.29999924,51854,10.85618782,8.829665184,8.947025299,4.736198425,0.164185807,10.70416546
3.400000095,1148,85.40000153,3586,31566,5989,3.599999905,86.59999847,25.29999924,60,37555,10.53356171,8.184792519,7.045776367,4.44734621,0.189729452,10.35983562
3.400000095,1572,96.09999847,3847,29781,5545,0,100,15.30000019,65.80000305,35326,10.47237492,8.255048752,7.360104084,4.565389156,0.186192542,10.30162621
3.400000095,2496,101.0999985,5070,36801,5895,2.700000048,89.19999695,46,60.5,42696,10.66186047,8.531096458,7.822444916,4.616110325,0.160185859,10.51327991
3.599999905,3358,87.59999847,4474,37863,6934,1.399999976,95.09999847,33.59999847,67.40000153,44797,10.70989609,8.406038284,8.119100571,4.472781181,0.18313393,10.54172993
3.599999905,11983,96,5159,40133,8085,2.5,87.80000305,40.09999847,69.40000153,48218,10.78348732,8.548498154,9.391243935,4.564348221,0.201455161,10.59995461
4.199999809,3499,102.8000031,5012,36451,7253,1.799999952,93.19999695,42.09999847,71.69999695,43704,10.68519497,8.519590378,8.160232544,4.63278532,0.198979452,10.5037241
4.199999809,5095,145,6501,33449,7386,1.899999976,92.09999847,39.79999924,55,40835,10.61729527,8.779711723,8.536014557,4.976733685,0.220813781,10.41777706
4.5,16793,106.9000015,5938,40859,8754,3,88.19999695,30.79999924,58.09999847,49613,10.8120079,8.689127922,9.728717804,4.671893597,0.214249,10.61788273
4.5,984,100.9000015,5987,42785,9279,5.599999905,79.30000305,14.60000038,74.59999847,52064,10.86022854,8.697345734,6.891625881,4.61413002,0.216875076,10.66394329
5.099999905,1116,107.0999985,4843,34085,5907,0.600000024,97.5,51.09999847,48.59999847,39992,10.59643459,8.485289574,7.017506123,4.673762798,0.17330204,10.43661308
5.5,4156,101.1999969,4255,29700,5295,5.300000191,79.69999695,29.20000076,55,34995,10.46296024,8.35585022,8.332308769,4.617098808,0.178282827,10.29890251
5.5,4046,99.90000153,5332,47436,3,0.200000003,98.40000153,49.70000076,62,47439,10.76719952,8.581481934,8.305483818,4.604169846,6.32E-05,10.76713657
5.599999905,10695,125.8000031,6806,40304,7309,1.100000024,89.80000305,42.59999847,53.09999847,47613,10.77086067,8.825559616,9.277531624,4.834693432,0.181346759,10.60420609
5.800000191,3117,122.8000031,6169,38873,6265,2.400000095,90.69999695,35,54.09999847,45138,10.71747971,8.727292061,8.044626236,4.810556889,0.161165848,10.56805515
6.099999905,2168,108.4000015,5235,35536,6555,4.099999905,84.69999695,35.90000153,45.40000153,42091,10.64758968,8.563121796,7.681560516,4.685828209,0.184460834,10.478302
6.199999809,2317,80.30000305,4196,37350,6987,1.600000024,93.80000305,17.79999924,44.5,44337,10.69957447,8.34188652,7.748028755,4.385769844,0.187068269,10.52808857
6.199999809,1391,109.3000031,4854,31076,6434,23.39999962,90,25.5,74.40000153,37510,10.53236294,8.487558365,7.237778187,4.694096565,0.207040802,10.34419155
6.300000191,3691,82.69999695,4088,35538,6408,1.399999976,94.09999847,33.20000076,69.19999695,41946,10.64413834,8.315811157,8.213652611,4.415219784,0.180314034,10.47835827
6.300000191,1673,103,4497,31271,6668,5.099999905,81.09999847,39.59999847,67.19999695,37939,10.54373455,8.411166191,7.422373772,4.634728909,0.213232711,10.3504467
6.699999809,2671,84.19999695,4141,35547,6430,0.400000006,98.19999695,30.29999924,57.09999847,41977,10.64487743,8.328692436,7.890208244,4.433195114,0.180887282,10.47861099
6.800000191,650,97.59999847,4403,34194,6833,0,100,54.79999924,72.80000305,41027,10.62198544,8.390041351,6.47697258,4.580877304,0.199830383,10.43980503
6.900000095,2119,89.19999695,4018,33345,6373,3.099999905,87.19999695,62.40000153,66.69999695,39718,10.58955956,8.298539162,7.658699512,4.490880966,0.191123113,10.41466331
7.800000191,1002,110.8000031,3943,25453,5246,2.799999952,89,29.70000076,56.5,30699,10.33198547,8.279697418,6.909753323,4.707726955,0.206105366,10.14458847
7.800000191,2549,84.59999847,4677,41451,7637,5,82.69999695,36.90000153,56.70000076,49088,10.80136967,8.450411797,7.843456268,4.437934399,0.184241638,10.632267
8,5805,98.90000153,4357,33234,5548,2.200000048,89.80000305,22.39999962,57.90000153,38782,10.56571198,8.37953949,8.666475296,4.594109058,0.16693747,10.41132832
8,2822,91.30000305,4955,36954,11545,8.600000381,72.69999695,23.89999962,50.90000153,48499,10.78929806,8.508152008,7.94520092,4.51415062,0.312415421,10.51742935
8.100000381,5491,98.40000153,4526,34499,7398,8,73.80000305,39.20000076,45,41897,10.64296913,8.417593956,8.610865593,4.589040756,0.214441001,10.44868565
8.199999809,2331,120.5,6618,37519,8973,1.399999976,100,22.89999962,57.09999847,46492,10.74703598,8.797548294,7.754052639,4.791649818,0.239158824,10.53260231
8.300000191,4725,95.69999695,5195,39481,8348,5,87.30000305,27.79999924,64.59999847,47829,10.77538776,8.555452347,8.460622787,4.561218262,0.211443484,10.58357525
8.399999619,2629,102.5,4684,33867,6924,3.200000048,94.69999695,36.90000153,67.09999847,40791,10.61621666,8.451908112,7.874358654,4.629862785,0.204446808,10.43019676
8.399999619,2475,119,5516,34520,5671,0.200000003,98.90000153,37.29999924,58.40000153,40191,10.60139847,8.615407944,7.813995838,4.779123306,0.164281577,10.44929409
8.5,1278,94.5,3675,27955,6073,1,94.59999847,21.29999924,65.5,34028,10.43493938,8.209308624,7.153051853,4.54859972,0.217242002,10.23835182
8.600000381,8016,95.40000153,4635,36461,6841,0.300000012,98.59999847,48.70000076,57,43302,10.67595387,8.441391945,8.98919487,4.558078766,0.18762514,10.50399876
8.699999809,913,95.19999695,4006,31204,5277,3.200000048,87.40000153,34.20000076,45.79999924,36481,10.50454712,8.295548439,6.816735744,4.555979729,0.169112936,10.34830189
8.800000191,891,93.69999695,4291,34105,6387,0.800000012,88.5,32.79999924,51,40492,10.60886002,8.364274979,6.79234457,4.54009819,0.18727459,10.43719959
8.800000191,5125,102.8000031,4759,34315,6892,7.099999905,82.80000305,33.20000076,39.40000153,41207,10.62636375,8.467792511,8.541885376,4.63278532,0.200845107,10.44333744
9,3263,101.6999969,3901,28948,5262,4.400000095,82.69999695,31.70000076,58.29999924,34210,10.44027328,8.268988609,8.090402603,4.622027397,0.181774214,10.2732563
9.100000381,444,111.3000031,4288,26682,4346,2.5,89.40000153,20,44,31028,10.34264565,8.363575935,6.095824718,4.712229252,0.162881345,10.1917448
9.100000381,10591,107,5794,39982,7680,0.699999988,92.59999847,28,39.90000153,47662,10.77188969,8.664578438,9.267760277,4.672828674,0.192086443,10.59618473
9.199999809,13684,96.09999847,6838,52812,10706,4.400000095,80.59999847,23.39999962,65.40000153,63518,11.05907822,8.83025074,9.523983002,4.565389156,0.202719077,10.8744936
9.300000191,5926,107.8000031,4037,28053,5076,61.90000153,80,42.90000153,69.90000153,33129,10.40816402,8.303256989,8.687105179,4.680277824,0.180943221,10.24185085
9.300000191,2100,103,5115,37112,7451,3.200000048,83.80000305,16.79999924,71,44563,10.70465946,8.539932251,7.649692535,4.634728909,0.200770646,10.52169609
9.399999619,669,105,4249,36183,0,0,100,30.89999962,47.70000076,36183,10.49634457,8.354438782,6.505784035,4.653960228,0,10.49634457
9.5,1789,83.19999695,4308,36622,8429,4.300000191,79.40000153,16.20000076,40.40000153,45051,10.71555042,8.368228912,7.489412308,4.421247482,0.230162203,10.50840473
9.5,2674,89.59999847,5562,45358,9871,3.299999952,94,23.60000038,49.59999847,55229,10.91924381,8.623713493,7.891330719,4.495355129,0.217624232,10.72234154
9.600000381,2405,99.40000153,4353,33341,6605,3.900000095,87.19999695,18.10000038,60.40000153,39946,10.59528351,8.378620148,7.785305023,4.599152088,0.198104441,10.41454315
9.600000381,891,150.1000061,6810,32197,6281,3.5,87.5,30.5,61.79999924,38478,10.55784225,8.826147079,6.79234457,5.011301994,0.19508028,10.37962818
9.699999809,2933,89.09999847,3561,29504,5488,11.80000019,72,28.10000038,51.20000076,34992,10.46287441,8.177796364,7.983780861,4.489759445,0.186008677,10.29228115
9.699999809,1617,104.4000015,3927,27192,4953,1.799999952,93.40000153,25.5,51.29999924,32145,10.37801266,8.275630951,7.388328075,4.648229599,0.182149157,10.2106781
9.699999809,3341,95.59999847,4806,35247,8736,8.5,81.5,35.09999847,71.09999847,43983,10.69155884,8.477620125,8.114025116,4.560173035,0.24785088,10.47013569
9.699999809,4132,80.09999847,5461,48782,11618,1.100000024,94.80000305,47.70000076,58.79999924,60400,11.00874424,8.605386734,8.326517105,4.383275986,0.238161623,10.79511642
9.800000191,4077,83.40000153,3930,36440,7152,1.399999976,101.3000031,26.79999924,54.40000153,43592,10.68262863,8.276394844,8.313117027,4.423648357,0.196267843,10.50342274
9.899999619,4776,94.90000153,4453,34863,7764,2.299999952,91.09999847,26.79999924,51.29999924,42627,10.66024303,8.401332855,8.471358299,4.552823544,0.222700283,10.45918179
10.19999981,734,85.80000305,4158,34491,6178,1.100000024,95.69999695,25.5,54.70000076,40669,10.61322117,8.332789421,6.598508835,4.452019215,0.179119185,10.4484539
10.19999981,4242,81.40000153,5054,45447,10017,3.200000048,87.19999695,32.20000076,58.09999847,55464,10.92348957,8.527935028,8.352789879,4.399375439,0.220410585,10.72430229
10.30000019,3299,68.90000153,3332,36045,6484,0.100000001,101.5,36.59999847,71.09999847,42529,10.65794182,8.111328125,8.101374626,4.232656002,0.179886252,10.49252319
10.30000019,511,104.6999969,4700,33949,6559,1.600000024,97.69999695,37.79999924,52.79999924,40508,10.60925484,8.455317497,6.23636961,4.651099205,0.193201572,10.43261433
10.39999962,10571,81,4333,39643,8234,1.200000048,95.30000305,23.39999962,42.59999847,47877,10.77639008,8.374015808,9.265870094,4.394449234,0.207703754,10.58766937
10.5,1837,95,5350,40188,7982,1.899999976,89.59999847,31.29999924,42.20000076,48170,10.78249168,8.584852219,7.515889168,4.553876877,0.198616505,10.60132408
10.60000038,3003,108.4000015,4513,29773,8060,5.5,81.90000153,12.69999981,47.79999924,37833,10.54093742,8.414717674,8.007367134,4.685828209,0.270715088,10.30135727
10.60000038,3233,95.90000153,5622,41122,8913,2.400000095,90.40000153,20.39999962,63.29999924,50035,10.82047844,8.634442329,8.081165314,4.563305855,0.216745287,10.6242981
10.69999981,2718,82.59999847,3495,32759,5749,0.699999988,96.30000305,33.29999924,47,38508,10.55862141,8.159089088,7.907651424,4.414009571,0.175493762,10.3969326
10.69999981,3003,123.9000015,5987,34410,8602,1,95.40000153,20.70000076,50.5,43012,10.66923428,8.697345734,8.007367134,4.819474697,0.249985471,10.44610214
10.80000019,4528,81.5,4007,35302,8796,1.600000024,94.09999847,19.70000076,60.90000153,44098,10.69417,8.295798302,8.418035507,4.400602818,0.249164358,10.47169495
11,2789,96.30000305,4747,35987,7223,2.200000048,91.69999695,25,37.5,43210,10.67382717,8.465268135,7.933438301,4.567468166,0.20071137,10.49091339
11.10000038,2625,94.69999695,4849,38399,6853,2.900000095,92.69999695,24.29999924,53.79999924,45252,10.72000217,8.486527443,7.872836113,4.550714016,0.178468183,10.55578709
11.10000038,3268,122.5999985,6539,37911,9491,4.699999809,92.40000153,32.5,63.29999924,47402,10.76641941,8.785539627,8.09193325,4.808927059,0.250349492,10.54299641
11.19999981,1767,92.09999847,5026,37600,8619,1.700000048,94,25.79999924,61.79999924,46219,10.74114609,8.522379875,7.477038383,4.522874832,0.22922872,10.53475952
11.39999962,5005,95.80000305,4575,36170,7653,0.899999976,94.90000153,29.79999924,52.90000153,43823,10.68791389,8.428361893,8.518192291,4.562262535,0.211584181,10.49598503
11.69999981,1135,103.3000031,4306,30977,5684,4.099999905,84.40000153,16,65.69999695,36661,10.50946903,8.367764473,7.034388065,4.637637615,0.183490977,10.34100056
11.69999981,3427,97.5,4401,34143,6032,2.400000095,81.90000153,38.79999924,52.09999847,40175,10.60099983,8.389587402,8.139440536,4.579852581,0.176668718,10.43831253
11.89999962,2504,94.19999695,4142,32191,5972,2.5,87.80000305,23.60000038,34.90000153,38163,10.54962158,8.328933716,7.82564497,4.54542017,0.185517699,10.37944221
11.89999962,1882,106.5,4521,30604,5950,1.5,102.8000031,23.70000076,36.79999924,36554,10.50654602,8.416488647,7.540090084,4.66814518,0.194419026,10.32888603
12,2054,93.90000153,3804,29280,5659,4.5,80.90000153,18.89999962,52.5,34939,10.46135902,8.243808746,7.627544403,4.542230606,0.19327186,10.28466034
12,3707,97.90000153,4117,31687,4619,2.900000095,89.30000305,31.60000038,50.29999924,36306,10.49973869,8.322879791,8.217978477,4.583946705,0.145769551,10.36366177
12,2963,91.30000305,4527,34700,7032,7.099999905,74.59999847,33.29999924,67.90000153,41732,10.63902378,8.417815208,7.99395752,4.51415062,0.202651292,10.45449543
12.30000019,3210,103.3000031,4256,32041,5454,3.799999952,85.5,23.29999924,53.20000076,37495,10.53196239,8.356084824,8.074026108,4.637637615,0.170219406,10.37477207
12.39999962,760,108.0999985,4200,28166,5447,0.5,97.90000153,25.39999962,62.90000153,33613,10.42266846,8.342840195,6.633318424,4.683056831,0.193389192,10.24587059
12.5,7653,114.5999985,7034,45252,9451,5.199999809,81.30000305,29.60000038,52.59999847,54703,10.90967369,8.858510971,8.942852974,4.741447926,0.208852649,10.72000217
12.60000038,1039,95.19999695,4133,32029,7284,1.399999976,94.80000305,13.5,54,39313,10.57931042,8.326758385,6.946013927,4.555979729,0.2274189,10.37439728
12.60000038,3084,93.40000153,4252,34045,6831,4,84.19999695,24.10000038,57.59999847,40876,10.61829853,8.355144501,8.033982277,4.53689146,0.200646207,10.43543816
12.89999962,2656,112.6999969,4162,27561,4819,0.600000024,97.30000305,24.29999924,53.70000076,32380,10.38529587,8.333750725,7.884576321,4.724729538,0.174848512,10.22415733
13.10000038,1860,92.30000305,3865,32436,5681,4.5,82.90000153,14.80000019,48.90000153,38117,10.54841518,8.259716988,7.528331757,4.525043964,0.175144896,10.38702393
13.10000038,808,88,4326,34730,7508,22,85,29.79999924,49.40000153,42238,10.65107536,8.372398376,6.694561958,4.477336884,0.216181979,10.45535946
13.10000038,4704,118,4373,28149,4244,5.800000191,77.69999695,18.70000076,43.09999847,32393,10.38569736,8.38320446,8.456168175,4.770684719,0.150769114,10.24526691
13.10000038,4521,99.30000305,5793,43840,8648,4.699999809,83.5,25.89999962,54.70000076,52488,10.86833954,8.664405823,8.416488647,4.598145485,0.197262779,10.68830204
13.19999981,2423,100.6999969,4385,31731,6265,2.700000048,89.19999695,32.90000153,59.09999847,37996,10.54523659,8.38594532,7.792761803,4.612145901,0.197440982,10.36504936
13.30000019,2774,91.30000305,4475,30860,8435,1.399999976,86.30000305,37.20000076,41.20000076,39295,10.57885265,8.406261444,7.92804575,4.51415062,0.273331165,10.33721638
13.39999962,4903,85.69999695,4016,35770,6927,1.200000048,95.30000305,23.60000038,50.90000153,42697,10.66188431,8.298041344,8.497602463,4.450852871,0.193653896,10.48486519
13.69999981,4941,91.80000305,3788,31261,6159,4.900000095,80.90000153,16.29999924,51.40000153,37420,10.52996063,8.239593506,8.50532341,4.519612312,0.197018653,10.35012627
13.69999981,4913,108.0999985,5438,36416,8170,6.099999905,76.90000153,25.5,53.79999924,44586,10.7051754,8.601166725,8.499640465,4.683056831,0.224351928,10.50276375
14,4305,89.90000153,4433,37855,8009,1.600000024,93.5,12.39999962,52.90000153,45864,10.73343563,8.396831512,8.36753273,4.498697758,0.211570472,10.54151821
14.10000038,3376,90.59999847,4244,34768,6635,1,96.5,31,55.59999847,41403,10.63110828,8.353261948,8.124446869,4.506453991,0.1908364,10.45645237
14.10000038,682,110.3000031,4287,27372,4893,1.700000048,88.69999695,30.20000076,60.29999924,32265,10.38173866,8.363342285,6.525029659,4.703204155,0.178759322,10.21727562
14.19999981,1824,96.90000153,5044,39102,6781,0.600000024,97.40000153,40.09999847,55.5,45883,10.73384953,8.525954247,7.508787155,4.573679447,0.173418239,10.57392883
14.30000019,1663,93.80000305,4033,31964,5555,2.599999905,89.19999695,27.60000038,48.79999924,37519,10.53260231,8.302266121,7.416378498,4.541164875,0.173789263,10.37236595
14.39999962,1480,101.3000031,3698,26779,5054,2.099999905,94.40000153,30.5,54.29999924,31833,10.36825848,8.215547562,7.299797535,4.618086338,0.188729972,10.19537354
14.39999962,1844,102.5,3910,27930,4956,0.800000012,96.5,21.10000038,41.20000076,32886,10.40080261,8.271292686,7.519692421,4.629862785,0.177443609,10.23745632
14.39999962,2221,113.5,4910,31839,6078,8.399999619,69.90000153,14.5,35,37917,10.54315472,8.49902916,7.705712795,4.73180294,0.190897956,10.3684473
14.69999981,2064,106.3000031,3945,27519,4627,8,76.69999695,20.5,74.5,32146,10.37804317,8.280203819,7.63240099,4.666265488,0.16813837,10.22263241
14.69999981,3434,99.90000153,4197,31407,6018,0,100,32.20000076,52.59999847,37425,10.53009415,8.342124939,8.1414814,4.604169846,0.191613331,10.35478592
14.80000019,1647,99.90000153,3710,27444,5156,6.699999809,75.40000153,21.5,50.70000076,32600,10.39206791,8.218787193,7.406710625,4.604169846,0.187873483,10.21990299
14.80000019,2670,100.8000031,3977,28877,5766,1.899999976,92.80000305,24.5,58.20000076,34643,10.4528513,8.288283348,7.889833927,4.613138199,0.199674487,10.27080059
14.80000019,5759,103.5999985,4952,35558,7394,3.299999952,84.90000153,30.70000076,48.40000153,42952,10.6678381,8.507546425,8.658518791,4.640537262,0.207941949,10.47891998
14.89999962,8201,93.30000305,5383,42811,8499,2.599999905,90.40000153,27.20000076,44.70000076,51310,10.84564114,8.591001511,9.012011528,4.535820007,0.198523745,10.66455078
15,3087,93.90000153,4139,32434,6834,6.699999809,76.90000153,24.79999924,48.70000076,39268,10.57816505,8.328209877,8.034955025,4.542230606,0.210704818,10.38696289
15,1689,95.19999695,4186,32839,5724,8,72.69999695,24.79999924,61.40000153,38563,10.5600481,8.339500427,7.431891918,4.555979729,0.174304947,10.3993721
15.19999981,3626,96,4243,31543,6928,5.800000191,71.5,26.79999924,38.79999924,38471,10.5576601,8.353025436,8.195885658,4.564348221,0.219636694,10.35910702
15.19999981,3394,86.90000153,4366,36621,7605,3.799999952,87.59999847,18.29999924,67,44226,10.69706821,8.381602287,8.129764557,4.464757919,0.207667738,10.50837708
15.19999981,8777,114.6999969,5710,39440,6260,5.099999905,77.90000153,43.90000153,44.5,45700,10.72985363,8.649973869,9.079890251,4.742320061,0.158722103,10.58253574
15.30000019,4350,97.5,4500,34474,7904,6.099999905,80.09999847,17.89999962,42.90000153,42378,10.65438461,8.411832809,8.377931595,4.579852581,0.229274228,10.44796085
15.30000019,2170,95.69999695,5895,45158,9354,2,94.30000305,19,30.10000038,54512,10.90617657,8.68185997,7.682482243,4.561218262,0.207139373,10.71792316
15.69999981,946,102.5,4122,29757,6229,1.100000024,94.30000305,30.60000038,49.20000076,35986,10.49088478,8.324093819,6.85224247,4.629862785,0.209328905,10.3008194
15.89999962,899,111.8000031,4239,28032,5670,1.5,86.09999847,18.89999962,49.20000076,33702,10.42531204,8.352082253,6.801282883,4.716711521,0.202268839,10.24110222
16,2363,102.0999985,3905,29280,5535,3,89.19999695,25,45.90000153,34815,10.45780373,8.270012856,7.767687321,4.625952721,0.189036891,10.28466034
16,2553,98,4752,34471,6622,6.900000095,90.80000305,12.60000038,49.5,41093,10.62359333,8.466320992,7.845024586,4.584967613,0.192103505,10.44787407
16.20000076,3480,92.69999695,3893,29898,7158,1.899999976,78.90000153,14.39999962,51.90000153,37056,10.52018547,8.266935349,8.154788017,4.529368401,0.239414006,10.30554676
16.29999924,1766,86.69999695,3901,33501,6882,12.5,58.29999924,18.29999924,46.79999924,40383,10.60616398,8.268988609,7.476472378,4.462453842,0.205426708,10.4193306
16.29999924,4192,104.3000031,4206,29238,6402,12.10000038,58.90000153,26.60000038,44.09999847,35640,10.48122406,8.344266891,8.340932846,4.647271156,0.218961626,10.28322411
16.39999962,412,99.5,3786,27973,5076,14.39999962,41.20000076,12.5,50,33049,10.40574646,8.23906517,6.021023273,4.600157738,0.181460693,10.2389946
16.39999962,1480,89.19999695,3788,32159,6038,4.599999905,83.19999695,33.29999924,57.40000153,38197,10.55051231,8.239593506,7.299797535,4.490880966,0.187754601,10.37844753
16.39999962,1068,96.30000305,4250,31114,6115,3.599999905,83.90000153,29.29999924,51.90000153,37229,10.52484322,8.354674339,6.973543167,4.567468166,0.196535319,10.34541321
16.5,1168,82.59999847,3688,33179,6134,2.599999905,89.80000305,23.5,61.29999924,39313,10.57931042,8.212839127,7.063048363,4.414009571,0.18487598,10.40967274
16.70000076,894,94.69999695,3848,30131,5482,3.400000095,96.69999695,17.60000038,41.29999924,35613,10.48046589,8.255309105,6.795705795,4.550714016,0.181938872,10.31330967
16.79999924,666,104.3000031,4336,30979,6065,11.89999962,63.5,2.400000095,61.5,37044,10.51986122,8.374707222,6.501289845,4.647271156,0.195777789,10.34106445
16.89999962,964,101.3000031,3799,27929,5061,1.200000048,94.19999695,29.20000076,39.90000153,32990,10.40396023,8.242493629,6.871091366,4.618086338,0.18120949,10.23742104
17,4035,90.09999847,4282,34134,8138,1.600000024,92.5,19.70000076,33.79999924,42272,10.65188026,8.362175941,8.302762032,4.500920296,0.238413319,10.43804932
17.20000076,1122,104.3000031,4664,29925,9769,3.799999952,88.19999695,23,51,39694,10.58895493,8.447628975,7.022868156,4.647271156,0.326449454,10.30644989
17.29999924,1623,99.5,3694,26891,5070,19.39999962,33.5,33,36.70000076,31961,10.37227154,8.214465141,7.39203167,4.600157738,0.188538909,10.19954681
17.29999924,1491,95.90000153,4147,32021,6415,5.300000191,89.30000305,23.70000076,45,38436,10.55674934,8.330140114,7.307202339,4.563305855,0.200337276,10.37414742
17.29999924,1765,118.4000015,5847,35802,7984,11,62.5,15.39999962,59.20000076,43786,10.68706894,8.67368412,7.475905895,4.774068832,0.223004296,10.48575878
